SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	Blocked
9	29-Oct-14	1	Blue	w	0	1.009	B	L	B	L	b	r	1	2006	1	4	1
9	29-Oct-14	2	Blue	d	1	0.5276	D	B	D	B	b	r	1	2006	1	4	1
9	29-Oct-14	3	Blue	w	0	0.0011	P	L	P	L	b	r	1	2006	1	4	1
9	29-Oct-14	4	Blue	b	0	0.828	M	Z	M	Z	b	r	1	2006	1	4	1
9	29-Oct-14	5	Blue	t	0	1.3534	F	L	F	L	r	b	1	647	1	4	1
9	29-Oct-14	6	Blue	b	1	0.3092	B	T	B	T	b	r	1	2006	1	4	1
9	29-Oct-14	7	Blue	q	0	1.0213	F	Z	F	Z	b	r	1	2006	1	4	1
9	29-Oct-14	8	Blue	a	0	1.3798	K	J	K	J	b	r	1	647	1	4	1
9	29-Oct-14	9	Blue	x	1	0.3675	X	R	X	R	b	r	1	2006	1	4	1
9	29-Oct-14	10	Blue	i	1	1.1494	I	S	I	S	b	r	1	647	1	4	1
9	29-Oct-14	11	Blue	s	0	0.3763	T	F	T	F	r	b	1	2006	1	4	1
9	29-Oct-14	12	Blue	p	0	1.2453	G	P	G	P	b	r	1	647	1	4	1
9	29-Oct-14	13	Blue	l	1	0.725	L	F	L	F	b	r	1	647	1	4	1
9	29-Oct-14	14	Blue	p	1	0.7019	I	P	I	P	r	b	1	647	1	4	1
9	29-Oct-14	15	Blue	q	0	1.0163	N	G	N	G	r	b	1	647	1	4	1
9	29-Oct-14	16	Blue	a	1	0.8561	B	A	B	A	r	b	1	647	1	4	1
9	29-Oct-14	1	Red	y	1	1.1841	Y	R	Y	R	r	b	1	2006	1	4	1
9	29-Oct-14	2	Red	q	1	0.9773	Q	B	Q	B	r	b	1	647	1	4	1
9	29-Oct-14	3	Red	d	0	0.5309	K	P	K	P	r	b	1	647	1	4	1
9	29-Oct-14	4	Red	i	1	0.5631	I	H	I	H	r	b	1	647	1	4	1
9	29-Oct-14	5	Red	d	1	0.8576	D	U	D	U	r	b	1	647	1	4	1
9	29-Oct-14	6	Red	c	1	1.2224	S	C	S	C	b	r	1	2006	1	4	1
9	29-Oct-14	7	Red	m	1	1.487	M	G	M	G	r	b	1	2006	1	4	1
9	29-Oct-14	8	Red	s	1	0.3821	U	S	U	S	b	r	1	2006	1	4	1
9	29-Oct-14	9	Red	r	1	1.0596	D	R	D	R	b	r	1	647	1	4	1
9	29-Oct-14	10	Red	a	1	0.5373	F	A	F	A	b	r	1	2006	1	4	1
9	29-Oct-14	11	Red	r	1	0.5616	T	R	T	R	b	r	1	2006	1	4	1
9	29-Oct-14	12	Red	s	1	0.2974	W	S	W	S	b	r	1	2006	1	4	1
9	29-Oct-14	13	Red	a	0	0.8896	S	E	S	E	r	b	1	647	1	4	1
9	29-Oct-14	14	Red	s	1	0.3096	D	S	D	S	b	r	1	2006	1	4	1
9	29-Oct-14	15	Red	q	0	1.6686	P	W	P	W	b	r	1	647	1	4	1
9	29-Oct-14	16	Red	y	1	1.4692	Y	C	Y	C	r	b	1	647	1	4	1
9	29-Oct-14	1	Blue	w	1	0.5439	W	Q	JRXW	TASQ	rrrb	bbbr	4	2006	1	4	1
