SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	Blocked
1024	24-Oct-14	1	Red	e	0	4.1973	M	V	M	V	r	b	1	2006	1	3	1
1024	24-Oct-14	2	Red	s	1	0.6465	S	X	S	X	r	b	1	2006	1	3	1
1024	24-Oct-14	3	Red	w	0	1.8035	F	K	F	K	b	r	1	646	1	3	1
1024	24-Oct-14	4	Red	e	1	1.1028	E	O	E	O	r	b	1	646	1	3	1
1024	24-Oct-14	5	Red	f	1	1.2429	W	F	W	F	b	r	1	646	1	3	1
1024	24-Oct-14	6	Red	g	1	2.3468	B	G	B	G	b	r	1	2006	1	3	1
1024	24-Oct-14	7	Red	z	1	1.7242	Z	T	Z	T	r	b	1	646	1	3	1
1024	24-Oct-14	8	Red	o	0	2.6978	Q	U	Q	U	b	r	1	646	1	3	1
1024	24-Oct-14	9	Red	g	1	1.1907	V	G	V	G	b	r	1	646	1	3	1
1024	24-Oct-14	10	Red	p	1	0.5515	P	L	P	L	r	b	1	2006	1	3	1
1024	24-Oct-14	11	Red	w	0	1.087	S	A	S	A	b	r	1	646	1	3	1
1024	24-Oct-14	12	Red	t	1	2.0126	O	T	O	T	b	r	1	2006	1	3	1
1024	24-Oct-14	13	Red	q	0	0.6334	O	P	O	P	r	b	1	2006	1	3	1
1024	24-Oct-14	14	Red	t	1	1.1746	P	T	P	T	b	r	1	646	1	3	1
1024	24-Oct-14	15	Red	w	0	1.6161	Q	K	Q	K	b	r	1	2006	1	3	1
1024	24-Oct-14	16	Red	u	1	0.5557	L	U	L	U	b	r	1	2006	1	3	1
1024	24-Oct-14	1	blue	w	0	0.7916	J	L	J	L	b	r	1	646	1	3	1
1024	24-Oct-14	2	blue	u	1	0.9822	B	U	B	U	r	b	1	646	1	3	1
1024	24-Oct-14	3	blue	o	1	3.3996	O	N	O	N	b	r	1	646	1	3	1
1024	24-Oct-14	4	blue	i	1	0.9868	I	G	I	G	b	r	1	646	1	3	1
1024	24-Oct-14	5	blue	w	0	0.3879	V	I	V	I	b	r	1	2006	1	3	1
1024	24-Oct-14	6	blue	j	1	0.9782	J	T	J	T	b	r	1	2006	1	3	1
1024	24-Oct-14	7	blue	s	1	1.3152	I	S	I	S	r	b	1	2006	1	3	1
1024	24-Oct-14	8	blue	w	0	3.5278	M	Z	M	Z	b	r	1	646	1	3	1
1024	24-Oct-14	9	blue	p	1	1.1753	Z	P	Z	P	r	b	1	646	1	3	1
1024	24-Oct-14	10	blue	p	1	1.561	B	P	B	P	r	b	1	646	1	3	1
1024	24-Oct-14	11	blue	k	1	0.7571	K	B	K	B	b	r	1	2006	1	3	1
1024	24-Oct-14	12	blue	w	0	1.1092	M	S	M	S	b	r	1	646	1	3	1
1024	24-Oct-14	13	blue	s	0	0.5616	D	F	D	F	r	b	1	2006	1	3	1
1024	24-Oct-14	14	blue	o	0	0.8167	R	U	R	U	r	b	1	2006	1	3	1
1024	24-Oct-14	15	blue	n	1	1.2077	N	Z	N	Z	b	r	1	2006	1	3	1
1024	24-Oct-14	16	blue	w	0	0.6403	C	D	C	D	b	r	1	2006	1	3	1
1024	24-Oct-14	1	Red	w	0	0.6792	Y	G	LY	MG	rr	bb	2	647	1	3	1
1024	24-Oct-14	2	Red	m	1	1.9221	X	M	HX	ZM	rb	br	2	647	1	3	1
1024	24-Oct-14	3	Red	j	0	0.7804	I	Z	KI	XZ	br	rb	2	2006	1	3	1
1024	24-Oct-14	4	Red	c	1	1.0381	Y	C	XY	DC	rb	br	2	2006	1	3	1
1024	24-Oct-14	5	Red	q	0	1.3649	T	W	DT	NW	bb	rr	2	647	1	3	1
1024	24-Oct-14	6	Red	w	0	1.3694	O	Y	JO	SY	br	rb	2	647	1	3	1
1024	24-Oct-14	7	Red	w	1	0.6551	M	W	XM	LW	bb	rr	2	2006	1	3	1
1024	24-Oct-14	8	Red	b	0	2.5077	U	Y	ZU	CY	rb	br	2	647	1	3	1
1024	24-Oct-14	9	Red	q	0	1.2482	M	D	AM	ND	bb	rr	2	2006	1	3	1
1024	24-Oct-14	10	Red	u	1	1.0565	U	G	BU	OG	rr	bb	2	647	1	3	1
1024	24-Oct-14	11	Red	w	0	1.4073	L	Z	XL	CZ	rr	bb	2	647	1	3	1
1024	24-Oct-14	12	Red	u	0	0.8189	I	X	QI	ZX	rr	bb	2	2006	1	3	1
1024	24-Oct-14	13	Red	m	0	2.4349	T	P	WT	MP	bb	rr	2	2006	1	3	1
1024	24-Oct-14	14	Red	w	0	0.7229	V	A	NV	LA	br	rb	2	2006	1	3	1
1024	24-Oct-14	15	Red	k	0	1.1582	J	E	WJ	SE	rb	br	2	2006	1	3	1
1024	24-Oct-14	16	Red	t	1	1.0011	V	T	UV	PT	bb	rr	2	647	1	3	1
1024	24-Oct-14	1	blue	w	1	0.6973	W	M	TW	KM	rb	br	2	646	1	3	1
1024	24-Oct-14	2	blue	z	0	1.4277	Q	O	WQ	ZO	bb	rr	2	2006	1	3	1
1024	24-Oct-14	3	blue	w	0	0.8874	F	Y	LF	EY	bb	rr	2	646	1	3	1
1024	24-Oct-14	4	blue	q	1	1.0202	Q	E	MQ	ZE	bb	rr	2	646	1	3	1
