SubID	SessionDate	Trial	TargetColor	Response	Response1	Response2	Correct	Correct1	Correct2	RT	RT1	RT2	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	resp_all	centerLetters	centerTargetLetter	centerTargetLetter1	centerTargetLetter2	
1	19-May-2016	   1	Red	p	NaN	NaN	1	99	99	4.6784	99.0000	99.0000	99	99	PN	XY	9	9	1	650	1	3	1	0	PN	P	P	N	
1	19-May-2016	   2	Red	c	NaN	NaN	0	99	99	2.1178	99.0000	99.0000	99	99	UK	CE	9	9	1	850	1	3	1	0	UK	U	U	K	
1	19-May-2016	   3	Red	v	NaN	NaN	0	99	99	4.2889	99.0000	99.0000	99	99	VN	EQ	99	99	2	850	1	3	1	0	VN	N	V	N	
1	19-May-2016	   4	Red	n	NaN	NaN	1	99	99	4.6242	99.0000	99.0000	99	99	NQ	VX	9	9	1	1050	1	3	1	0	NQ	N	N	Q	
1	19-May-2016	   5	Red	a	NaN	NaN	1	99	99	0.8039	99.0000	99.0000	99	99	GA	XH	99	99	2	2000	1	3	1	0	GA	A	G	A	
1	19-May-2016	   6	Red	i	NaN	NaN	0	99	99	1.7712	99.0000	99.0000	99	99	QG	TF	9	9	1	650	1	3	1	0	QG	Q	Q	G	
1	19-May-2016	   7	Red	v	NaN	NaN	1	99	99	1.5114	99.0000	99.0000	99	99	VM	BY	9	9	1	2000	1	3	1	0	VM	V	V	M	
1	19-May-2016	   8	Red	f	NaN	NaN	1	99	99	0.8583	99.0000	99.0000	99	99	VF	MR	99	99	2	1050	1	3	1	0	VF	F	V	F	
1	19-May-2016	   9	Red	d	NaN	NaN	1	99	99	1.1992	99.0000	99.0000	99	99	DM	WH	9	9	1	2000	1	3	1	0	DM	D	D	M	
1	19-May-2016	  10	Red	e	NaN	NaN	1	99	99	1.5523	99.0000	99.0000	99	99	EK	FO	9	9	1	650	1	3	1	0	EK	E	E	K	
1	19-May-2016	  11	Red	w	NaN	NaN	1	99	99	1.3685	99.0000	99.0000	99	99	WM	IH	9	9	1	1050	1	3	1	0	WM	W	W	M	
1	19-May-2016	  12	Red	y	NaN	NaN	0	99	99	1.3155	99.0000	99.0000	99	99	VK	MT	99	99	2	650	1	3	1	0	VK	K	V	K	
1	19-May-2016	  13	Red	s	NaN	NaN	1	99	99	1.1622	99.0000	99.0000	99	99	SC	BF	9	9	1	1050	1	3	1	0	SC	S	S	C	
1	19-May-2016	  14	Red	o	NaN	NaN	1	99	99	1.1017	99.0000	99.0000	99	99	OZ	RX	9	9	1	2000	1	3	1	0	OZ	O	O	Z	
1	19-May-2016	  15	Red	y	NaN	NaN	1	99	99	1.1239	99.0000	99.0000	99	99	YQ	UK	9	9	1	850	1	3	1	0	YQ	Y	Y	Q	
1	19-May-2016	  16	Red	u	NaN	NaN	1	99	99	0.9510	99.0000	99.0000	99	99	UC	YE	9	9	1	850	1	3	1	0	UC	U	U	C	
1	19-May-2016	  17	Red	j	NaN	NaN	1	99	99	1.2652	99.0000	99.0000	99	99	JR	GY	9	9	1	650	1	3	1	0	JR	J	J	R	
1	19-May-2016	  18	Red	a	NaN	NaN	1	99	99	0.9780	99.0000	99.0000	99	99	UA	SQ	99	99	2	2000	1	3	1	0	UA	A	U	A	
1	19-May-2016	  19	Red	w	NaN	NaN	1	99	99	1.0826	99.0000	99.0000	99	99	WZ	NS	9	9	1	850	1	3	1	0	WZ	W	W	Z	
1	19-May-2016	  20	Red	j	NaN	NaN	1	99	99	0.8196	99.0000	99.0000	99	99	FJ	SE	99	99	2	850	1	3	1	0	FJ	J	F	J	
1	19-May-2016	  21	Red	n	NaN	NaN	1	99	99	1.0595	99.0000	99.0000	99	99	MN	QO	99	99	2	2000	1	3	1	0	MN	N	M	N	
1	19-May-2016	  22	Red	x	NaN	NaN	1	99	99	1.1636	99.0000	99.0000	99	99	XI	WV	9	9	1	2000	1	3	1	0	XI	X	X	I	
1	19-May-2016	  23	Red	k	NaN	NaN	1	99	99	0.9376	99.0000	99.0000	99	99	UK	YX	99	99	2	1050	1	3	1	0	UK	K	U	K	
1	19-May-2016	  24	Red	t	NaN	NaN	1	99	99	1.1276	99.0000	99.0000	99	99	BT	WR	99	99	2	850	1	3	1	0	BT	T	B	T	
1	19-May-2016	  25	Red	s	NaN	NaN	1	99	99	1.1253	99.0000	99.0000	99	99	SE	QW	9	9	1	1050	1	3	1	0	SE	S	S	E	
1	19-May-2016	  26	Red	a	NaN	NaN	1	99	99	1.0331	99.0000	99.0000	99	99	NA	MS	99	99	2	650	1	3	1	0	NA	A	N	A	
1	19-May-2016	  27	Red	l	NaN	NaN	1	99	99	1.0023	99.0000	99.0000	99	99	VL	AT	99	99	2	2000	1	3	1	0	VL	L	V	L	
1	19-May-2016	  28	Red	n	NaN	NaN	0	99	99	0.7327	99.0000	99.0000	99	99	QU	XR	99	99	2	650	1	3	1	0	QU	U	Q	U	
1	19-May-2016	  29	Red	l	NaN	NaN	1	99	99	0.8657	99.0000	99.0000	99	99	PL	VW	99	99	2	1050	1	3	1	0	PL	L	P	L	
1	19-May-2016	  30	Red	b	NaN	NaN	1	99	99	0.6773	99.0000	99.0000	99	99	ZB	XJ	99	99	2	1050	1	3	1	0	ZB	B	Z	B	
1	19-May-2016	  31	Red	h	NaN	NaN	0	99	99	1.0678	99.0000	99.0000	99	99	SI	GU	99	99	2	850	1	3	1	0	SI	I	S	I	
1	19-May-2016	  32	Red	s	NaN	NaN	1	99	99	1.0746	99.0000	99.0000	99	99	GS	FX	99	99	2	650	1	3	1	0	GS	S	G	S	
1	19-May-2016	   1	Blue	t	NaN	NaN	1	99	99	1.1764	99.0000	99.0000	99	99	UT	KJ	99	99	2	2000	1	3	1	0	UT	T	U	T	
1	19-May-2016	   2	Blue	d	NaN	NaN	1	99	99	4.2344	99.0000	99.0000	99	99	DT	IM	9	9	1	2000	1	3	1	0	DT	D	D	T	
1	19-May-2016	   3	Blue	w	NaN	NaN	0	99	99	0.9218	99.0000	99.0000	99	99	HK	OT	99	99	2	650	1	3	1	0	HK	K	H	K	
1	19-May-2016	   4	Blue	t	NaN	NaN	1	99	99	0.7758	99.0000	99.0000	99	99	VT	XK	99	99	2	850	1	3	1	0	VT	T	V	T	
1	19-May-2016	   5	Blue	h	NaN	NaN	1	99	99	1.0409	99.0000	99.0000	99	99	HR	TA	9	9	1	1050	1	3	1	0	HR	H	H	R	
1	19-May-2016	   6	Blue	c	NaN	NaN	1	99	99	1.1281	99.0000	99.0000	99	99	CW	LG	9	9	1	850	1	3	1	0	CW	C	C	W	
1	19-May-2016	   7	Blue	n	NaN	NaN	1	99	99	0.9722	99.0000	99.0000	99	99	MN	TI	99	99	2	650	1	3	1	0	MN	N	M	N	
1	19-May-2016	   8	Blue	g	NaN	NaN	1	99	99	0.9908	99.0000	99.0000	99	99	GW	UL	9	9	1	850	1	3	1	0	GW	G	G	W	
1	19-May-2016	   9	Blue	n	NaN	NaN	0	99	99	0.8557	99.0000	99.0000	99	99	MH	PB	99	99	2	650	1	3	1	0	MH	H	M	H	
1	19-May-2016	  10	Blue	b	NaN	NaN	1	99	99	0.5895	99.0000	99.0000	99	99	BR	VP	9	9	1	2000	1	3	1	0	BR	B	B	R	
1	19-May-2016	  11	Blue	z	NaN	NaN	1	99	99	0.8426	99.0000	99.0000	99	99	ZL	FH	9	9	1	2000	1	3	1	0	ZL	Z	Z	L	
1	19-May-2016	  12	Blue	h	NaN	NaN	1	99	99	1.0399	99.0000	99.0000	99	99	HD	VL	9	9	1	650	1	3	1	0	HD	H	H	D	
1	19-May-2016	  13	Blue	y	NaN	NaN	1	99	99	1.1272	99.0000	99.0000	99	99	YK	GU	9	9	1	850	1	3	1	0	YK	Y	Y	K	
1	19-May-2016	  14	Blue	p	NaN	NaN	1	99	99	0.9860	99.0000	99.0000	99	99	PN	FM	9	9	1	650	1	3	1	0	PN	P	P	N	
1	19-May-2016	  15	Blue	o	NaN	NaN	1	99	99	0.8215	99.0000	99.0000	99	99	OW	MN	9	9	1	1050	1	3	1	0	OW	O	O	W	
1	19-May-2016	  16	Blue	o	NaN	NaN	1	99	99	0.9059	99.0000	99.0000	99	99	OY	SC	9	9	1	650	1	3	1	0	OY	O	O	Y	
1	19-May-2016	  17	Blue	b	NaN	NaN	0	99	99	1.2752	99.0000	99.0000	99	99	HM	JB	99	99	2	1050	1	3	1	0	HM	M	H	M	
1	19-May-2016	  18	Blue	l	NaN	NaN	1	99	99	0.9453	99.0000	99.0000	99	99	LN	QB	9	9	1	2000	1	3	1	0	LN	L	L	N	
1	19-May-2016	  19	Blue	g	NaN	NaN	1	99	99	0.9252	99.0000	99.0000	99	99	GQ	SU	9	9	1	1050	1	3	1	0	GQ	G	G	Q	
1	19-May-2016	  20	Blue	r	NaN	NaN	1	99	99	1.4499	99.0000	99.0000	99	99	RT	KX	9	9	1	1050	1	3	1	0	RT	R	R	T	
1	19-May-2016	  21	Blue	x	NaN	NaN	1	99	99	0.7484	99.0000	99.0000	99	99	MX	SH	99	99	2	2000	1	3	1	0	MX	X	M	X	
1	19-May-2016	  22	Blue	u	NaN	NaN	1	99	99	1.0460	99.0000	99.0000	99	99	UH	LF	9	9	1	650	1	3	1	0	UH	U	U	H	
1	19-May-2016	  23	Blue	e	NaN	NaN	1	99	99	1.2805	99.0000	99.0000	99	99	JE	DH	99	99	2	1050	1	3	1	0	JE	E	J	E	
1	19-May-2016	  24	Blue	t	NaN	NaN	1	99	99	1.2034	99.0000	99.0000	99	99	IT	SA	99	99	2	1050	1	3	1	0	IT	T	I	T	
1	19-May-2016	  25	Blue	w	NaN	NaN	0	99	99	0.9511	99.0000	99.0000	99	99	BH	FP	99	99	2	2000	1	3	1	0	BH	H	B	H	
1	19-May-2016	  26	Blue	m	NaN	NaN	0	99	99	1.4658	99.0000	99.0000	99	99	PX	HI	99	99	2	650	1	3	1	0	PX	X	P	X	
1	19-May-2016	  27	Blue	p	NaN	NaN	1	99	99	0.5483	99.0000	99.0000	99	99	KP	AI	99	99	2	2000	1	3	1	0	KP	P	K	P	
1	19-May-2016	  28	Blue	s	NaN	NaN	1	99	99	1.5439	99.0000	99.0000	99	99	JS	KC	99	99	2	850	1	3	1	0	JS	S	J	S	
1	19-May-2016	  29	Blue	q	NaN	NaN	1	99	99	0.8814	99.0000	99.0000	99	99	GQ	NP	99	99	2	1050	1	3	1	0	GQ	Q	G	Q	
1	19-May-2016	  30	Blue	y	NaN	NaN	1	99	99	0.8082	99.0000	99.0000	99	99	IY	SN	99	99	2	850	1	3	1	0	IY	Y	I	Y	
1	19-May-2016	  31	Blue	u	NaN	NaN	1	99	99	1.0408	99.0000	99.0000	99	99	UV	DS	9	9	1	850	1	3	1	0	UV	U	U	V	
