SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	symbols	
21	04-Mar-2016	   1	Blue	t	1	1.0246	R	T	nnnR	nnnT	rbbr	brrb	4	2000	1	6	1
21	04-Mar-2016	   2	Blue	l	1	1.0395	I	L	I	L	r	b	1	2000	1	6	1
21	04-Mar-2016	   3	Blue	s	1	0.9195	Y	S	nY	nS	rr	bb	2	2000	1	6	1
21	04-Mar-2016	   4	Blue	a	1	1.1543	A	D	nA	nD	bb	rr	2	650	1	6	1
21	04-Mar-2016	   5	Blue	n	1	0.9567	P	N	P	N	r	b	1	2000	1	6	1
21	04-Mar-2016	   6	Blue	e	1	0.9141	L	E	nnL	nnE	brr	rbb	3	2000	1	6	1
21	04-Mar-2016	   7	Blue	e	1	1.0487	E	V	nnnE	nnnV	rrrb	bbbr	4	650	1	6	1
21	04-Mar-2016	   8	Blue	j	1	1.0241	J	I	nnJ	nnI	bbb	rrr	3	650	1	6	1
21	04-Mar-2016	   9	Blue	d	1	1.0075	D	Q	D	Q	b	r	1	650	1	6	1
21	04-Mar-2016	  10	Blue	r	0	1.4885	X	Q	nX	nQ	rb	br	2	650	1	6	1
21	04-Mar-2016	  11	Blue	r	1	1.1465	R	L	nnR	nnL	brb	rbr	3	2000	1	6	1
21	04-Mar-2016	  12	Blue	l	1	1.1326	C	L	nC	nL	rr	bb	2	650	1	6	1
21	04-Mar-2016	  13	Blue	y	1	1.0822	Y	B	nY	nB	bb	rr	2	650	1	6	1
21	04-Mar-2016	  14	Blue	l	1	1.1758	L	C	nnL	nnC	rrb	bbr	3	650	1	6	1
21	04-Mar-2016	  15	Blue	a	1	0.8618	M	A	nnM	nnA	bbr	rrb	3	2000	1	6	1
21	04-Mar-2016	  16	Blue	a	1	1.0614	A	W	nnnA	nnnW	brrb	rbbr	4	650	1	6	1
21	04-Mar-2016	  17	Blue	f	1	0.8844	F	Y	F	Y	b	r	1	650	1	6	1
21	04-Mar-2016	  18	Blue	o	0	1.4081	O	X	O	X	r	b	1	650	1	6	1
21	04-Mar-2016	  19	Blue	p	1	1.0014	U	P	U	P	r	b	1	2000	1	6	1
21	04-Mar-2016	  20	Blue	i	1	1.2137	I	U	nnnI	nnnU	brbb	rbrr	4	2000	1	6	1
21	04-Mar-2016	  21	Blue	d	1	1.0665	L	D	nnL	nnD	rrr	bbb	3	2000	1	6	1
21	04-Mar-2016	  22	Blue	o	1	1.1866	Z	O	nnZ	nnO	rrr	bbb	3	650	1	6	1
21	04-Mar-2016	  23	Blue	a	1	0.9074	L	A	L	A	r	b	1	2000	1	6	1
21	04-Mar-2016	  24	Blue	l	1	0.9677	L	Q	nL	nQ	bb	rr	2	2000	1	6	1
21	04-Mar-2016	  25	Blue	w	1	1.0629	D	W	nnnD	nnnW	brbr	rbrb	4	2000	1	6	1
21	04-Mar-2016	  26	Blue	r	0	0.8091	Y	G	nnnY	nnnG	rrrr	bbbb	4	2000	1	6	1
21	04-Mar-2016	  27	Blue	a	1	1.0825	A	P	nA	nP	bb	rr	2	2000	1	6	1
21	04-Mar-2016	  28	Blue	r	0	0.9058	O	Q	nO	nQ	rr	bb	2	2000	1	6	1
21	04-Mar-2016	  29	Blue	q	1	1.2067	Q	D	nnnQ	nnnD	rrrb	bbbr	4	650	1	6	1
21	04-Mar-2016	  30	Blue	b	0	0.8596	E	N	nnnE	nnnN	brrb	rbbr	4	650	1	6	1
21	04-Mar-2016	  31	Blue	i	1	0.9032	I	O	I	O	b	r	1	650	1	6	1
21	04-Mar-2016	  32	Blue	y	1	0.9964	J	Y	nnJ	nnY	rrr	bbb	3	650	1	6	1
21	04-Mar-2016	   1	Red	r	0	1.0866	X	L	nnX	nnL	rrr	bbb	3	650	1	6	1
21	04-Mar-2016	   2	Red	x	1	1.2150	X	F	nnX	nnF	rbr	brb	3	2000	1	6	1
21	04-Mar-2016	   3	Red	b	1	1.0253	B	N	nnB	nnN	rrr	bbb	3	650	1	6	1
21	04-Mar-2016	   4	Red	i	1	1.0127	I	Q	nnI	nnQ	rrr	bbb	3	2000	1	6	1
21	04-Mar-2016	   5	Red	g	1	1.0702	G	K	nnnG	nnnK	rrbr	bbrb	4	650	1	6	1
21	04-Mar-2016	   6	Red	o	1	1.1606	V	O	nnnV	nnnO	bbrb	rrbr	4	650	1	6	1
21	04-Mar-2016	   7	Red	e	1	1.0375	E	Y	nnE	nnY	bbr	rrb	3	2000	1	6	1
21	04-Mar-2016	   8	Red	o	1	1.0843	O	R	nO	nR	br	rb	2	650	1	6	1
21	04-Mar-2016	   9	Red	i	1	0.9553	L	I	nnL	nnI	bbb	rrr	3	650	1	6	1
21	04-Mar-2016	  10	Red	a	1	0.8934	A	U	A	U	r	b	1	650	1	6	1
21	04-Mar-2016	  11	Red	b	0	0.9214	K	O	nK	nO	br	rb	2	2000	1	6	1
21	04-Mar-2016	  12	Red	p	1	1.0217	H	P	nnH	nnP	rbb	brr	3	650	1	6	1
21	04-Mar-2016	  13	Red	c	1	0.9223	D	C	nnnD	nnnC	rrrb	bbbr	4	2000	1	6	1
21	04-Mar-2016	  14	Red	s	1	1.0451	Z	S	nZ	nS	rb	br	2	650	1	6	1
21	04-Mar-2016	  15	Red	q	0	2.0846	H	W	nH	nW	bb	rr	2	650	1	6	1
21	04-Mar-2016	  16	Red	j	1	1.0700	K	J	K	J	b	r	1	650	1	6	1
21	04-Mar-2016	  17	Red	w	0	1.1849	H	B	nnnH	nnnB	rrrb	bbbr	4	2000	1	6	1
21	04-Mar-2016	  18	Red	l	1	0.9489	L	B	nL	nB	rr	bb	2	2000	1	6	1
21	04-Mar-2016	  19	Red	f	1	0.7039	F	I	F	I	r	b	1	2000	1	6	1
21	04-Mar-2016	  20	Red	z	1	0.9745	Z	D	nnnZ	nnnD	bbrr	rrbb	4	2000	1	6	1
21	04-Mar-2016	  21	Red	y	0	2.2802	Z	H	Z	H	b	r	1	2000	1	6	1
21	04-Mar-2016	  22	Red	d	1	1.1407	D	A	nD	nA	rr	bb	2	2000	1	6	1
21	04-Mar-2016	  23	Red	u	1	1.3145	C	U	nnnC	nnnU	brrb	rbbr	4	650	1	6	1
21	04-Mar-2016	  24	Red	n	1	0.9361	N	Z	N	Z	r	b	1	2000	1	6	1
21	04-Mar-2016	  25	Red	c	0	1.5469	V	S	nV	nS	rb	br	2	650	1	6	1
21	04-Mar-2016	  26	Red	b	0	1.1290	Q	B	Q	B	r	b	1	650	1	6	1
21	04-Mar-2016	  27	Red	k	1	1.0483	K	Y	nnnK	nnnY	rrbr	bbrb	4	2000	1	6	1
21	04-Mar-2016	  28	Red	f	1	1.0716	F	R	F	R	r	b	1	2000	1	6	1
21	04-Mar-2016	  29	Red	k	0	1.3263	K	W	nK	nW	bb	rr	2	2000	1	6	1
21	04-Mar-2016	  30	Red	z	1	1.2295	F	Z	nnF	nnZ	brb	rbr	3	2000	1	6	1
21	04-Mar-2016	  31	Red	a	1	1.1187	A	M	A	M	r	b	1	650	1	6	1
21	04-Mar-2016	  32	Red	a	1	1.1014	A	B	nnnA	nnnB	brrr	rbbb	4	650	1	6	1
21	04-Mar-2016	   1	Blue	f	0	1.1781	F	X	F	X	r	b	1	2000	1	6	1
21	04-Mar-2016	   2	Blue	x	1	9.3161	X	Q	X	Q	b	r	1	2000	1	6	1
21	04-Mar-2016	   3	Blue	f	0	1.7538	O	F	O	F	b	r	1	2000	1	6	1
21	04-Mar-2016	   4	Blue	l	1	1.0486	Q	L	nQ	nL	br	rb	2	650	1	6	1
21	04-Mar-2016	   5	Blue	j	1	0.9935	P	J	nnP	nnJ	rbr	brb	3	2000	1	6	1
21	04-Mar-2016	   6	Blue	w	1	1.1364	W	Q	W	Q	b	r	1	650	1	6	1
21	04-Mar-2016	   7	Blue	b	0	0.9604	K	W	nnK	nnW	rbr	brb	3	2000	1	6	1
21	04-Mar-2016	   8	Blue	l	1	1.2115	L	T	nL	nT	rb	br	2	2000	1	6	1
