SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	symbols	
1	05-Feb-2016	   1	Red	h	1	1.3636	H	K	YHOQ	LKEX	rr	bb	2	2000	1	6	0
1	05-Feb-2016	   2	Red	w	1	1.1286	W	M	RWOS	KMVL	rr	bb	2	650	1	6	0
1	05-Feb-2016	   3	Red	t	0	1.6300	W	Z	QTBW	VHYZ	rrbb	bbrr	4	650	1	6	0
1	05-Feb-2016	   4	Red	q	1	1.0415	Q	E	NQVX	JEFT	rr	bb	2	650	1	6	0
1	05-Feb-2016	   5	Red	e	1	0.7845	A	E	JATM	UECZ	bb	rr	2	2000	1	6	0
1	05-Feb-2016	   6	Red	j	1	0.8871	J	C	YOKJ	MLHC	brbr	rbrb	4	2000	1	6	0
1	05-Feb-2016	   7	Red	d	1	1.7160	G	D	RCGZ	ONDF	bbb	rrr	3	650	1	6	0
1	05-Feb-2016	   8	Red	h	1	1.6757	F	H	EFIG	RHNO	bb	rr	2	650	1	6	0
1	05-Feb-2016	   9	Red	y	1	1.0517	Y	S	YKCW	SLRF	r	b	1	2000	1	6	0
1	05-Feb-2016	  10	Red	v	1	0.8677	J	V	TJRK	AVQS	bb	rr	2	2000	1	6	0
1	05-Feb-2016	  11	Red	l	1	1.5293	L	T	LJUS	TWPA	r	b	1	650	1	6	0
1	05-Feb-2016	  12	Red	u	1	2.0300	U	O	UZKP	OBJM	r	b	1	650	1	6	0
1	05-Feb-2016	  13	Red	o	1	4.5524	O	E	FVKO	LDIE	bbrr	rrbb	4	2000	1	6	0
1	05-Feb-2016	  14	Red	e	0	3.1906	B	L	OTBR	MELD	rbb	brr	3	650	1	6	0
1	05-Feb-2016	  15	Red	d	1	0.9481	D	F	YNDR	QWFX	brr	rbb	3	2000	1	6	0
1	05-Feb-2016	  16	Red	j	0	1.9436	O	X	AJOL	DHXV	rrr	bbb	3	650	1	6	0
1	05-Feb-2016	  17	Red	m	1	1.0984	X	M	JTEX	RLDM	rrbb	bbrr	4	650	1	6	0
1	05-Feb-2016	  18	Red	e	1	2.2322	C	E	CUHA	EFSG	b	r	1	650	1	6	0
1	05-Feb-2016	  19	Red	c	1	1.1435	J	C	SAJX	RVCY	brb	rbr	3	2000	1	6	0
1	05-Feb-2016	  20	Red	i	1	0.8738	X	I	XHOU	ILJY	b	r	1	2000	1	6	0
1	05-Feb-2016	  21	Red	z	0	2.0639	Y	Z	ESYV	MDZG	rbr	brb	3	650	1	6	0
1	05-Feb-2016	  22	Red	g	1	3.0361	G	S	GIVW	SDCT	r	b	1	650	1	6	0
1	05-Feb-2016	  23	Red	b	0	1.3737	X	K	BXYG	LKNT	rb	br	2	650	1	6	0
1	05-Feb-2016	  24	Red	s	1	1.3958	X	S	AHRX	KEBS	bbrb	rrbr	4	650	1	6	0
1	05-Feb-2016	  25	Red	r	1	1.2327	M	R	YHIM	SZUR	rbrb	brbr	4	650	1	6	0
1	05-Feb-2016	  26	Red	h	0	0.8598	V	N	XFVP	CHNT	bbr	rrb	3	2000	1	6	0
1	05-Feb-2016	  27	Red	p	0	0.9268	C	E	ZTPC	SWQE	rrrb	bbbr	4	2000	1	6	0
1	05-Feb-2016	  28	Red	a	1	1.2578	A	I	HAOX	UIKC	br	rb	2	2000	1	6	0
1	05-Feb-2016	  29	Red	c	1	1.1324	C	I	QACP	STIV	rrr	bbb	3	2000	1	6	0
1	05-Feb-2016	  30	Red	d	1	1.0720	H	D	HGXQ	DFEO	b	r	1	2000	1	6	0
1	05-Feb-2016	  31	Red	n	1	1.5404	S	N	SZKT	NOHL	b	r	1	2000	1	6	0
1	05-Feb-2016	  32	Red	l	0	0.5341	P	U	WHTP	LKGU	bbrb	rrbr	4	2000	1	6	0
1	05-Feb-2016	   1	Blue	s	0	1.6269	C	I	ASRC	OQMI	bbrr	rrbb	4	650	1	6	0
1	05-Feb-2016	   2	Blue	v	0	2.1097	E	C	GVEY	RKCN	bbr	rrb	3	650	1	6	0
1	05-Feb-2016	   3	Blue	k	0	0.9658	M	I	UFVM	KDQI	rbrr	brbb	4	2000	1	6	0
1	05-Feb-2016	   4	Blue	l	0	1.2322	C	S	HLCJ	OTSI	bbr	rrb	3	650	1	6	0
1	05-Feb-2016	   5	Blue	q	0	2.7837	D	E	DCOU	EGSV	b	r	1	2000	1	6	0
1	05-Feb-2016	   6	Blue	p	1	1.2779	B	P	ECBR	UHPK	brr	rbb	3	2000	1	6	0
1	05-Feb-2016	   7	Blue	r	0	3.1798	U	G	UARM	GZTF	r	b	1	2000	1	6	0
1	05-Feb-2016	   8	Blue	r	0	1.3845	J	O	XJMF	ROAC	rb	br	2	650	1	6	0
1	05-Feb-2016	   9	Blue	b	1	1.4349	B	Y	BWCA	YKSU	b	r	1	2000	1	6	0
1	05-Feb-2016	  10	Blue	u	0	1.2398	P	R	HQCP	KDUR	brrb	rbbr	4	650	1	6	0
1	05-Feb-2016	  11	Blue	p	0	1.2745	I	J	KWPI	XNQJ	brbb	rbrr	4	650	1	6	0
1	05-Feb-2016	  12	Blue	e	1	2.6907	E	O	DEBC	YOTG	rb	br	2	2000	1	6	0
1	05-Feb-2016	  13	Blue	u	0	1.5869	R	A	QEUR	ITYA	bbbr	rrrb	4	650	1	6	0
1	05-Feb-2016	  14	Blue	x	1	2.2535	N	X	NLYU	XPZK	r	b	1	650	1	6	0
1	05-Feb-2016	  15	Blue	u	1	1.9064	U	Y	UASJ	YHNM	b	r	1	650	1	6	0
1	05-Feb-2016	  16	Blue	r	1	1.0908	R	H	XRMK	CHNV	bb	rr	2	2000	1	6	0
1	05-Feb-2016	  17	Blue	k	0	1.2940	R	Y	EJPR	BKNY	rrrb	bbbr	4	2000	1	6	0
1	05-Feb-2016	  18	Blue	d	0	5.6289	N	R	DNWO	CRIG	br	rb	2	2000	1	6	0
1	05-Feb-2016	  19	Blue	l	0	2.7970	U	K	TRUH	FGKZ	bbr	rrb	3	650	1	6	0
1	05-Feb-2016	  20	Blue	m	0	2.2462	I	D	MIWA	VDEC	br	rb	2	650	1	6	0
1	05-Feb-2016	  21	Blue	j	1	0.8406	U	J	AFCU	PLVJ	bbbr	rrrb	4	2000	1	6	0
1	05-Feb-2016	  22	Blue	h	1	1.0493	L	H	WOLJ	VGHA	brr	rbb	3	2000	1	6	0
1	05-Feb-2016	  23	Blue	s	1	1.0265	O	S	NKOU	XHSM	rrr	bbb	3	2000	1	6	0
1	05-Feb-2016	  24	Blue	n	1	2.4262	R	N	RSQA	NMTK	r	b	1	650	1	6	0
1	05-Feb-2016	  25	Blue	s	0	1.4800	C	N	CHZG	NOMY	b	r	1	2000	1	6	0
1	05-Feb-2016	  26	Blue	t	0	1.2883	G	F	TGSX	WFQM	br	rb	2	650	1	6	0
1	05-Feb-2016	  27	Blue	u	0	1.0152	V	A	DXVT	UHAE	rrb	bbr	3	650	1	6	0
1	05-Feb-2016	  28	Blue	i	0	0.7946	N	G	LUNP	MIGE	brr	rbb	3	2000	1	6	0
1	05-Feb-2016	  29	Blue	j	1	1.1095	Y	J	QFTY	AWGJ	bbbr	rrrb	4	2000	1	6	0
1	05-Feb-2016	  30	Blue	q	1	2.0677	Q	Y	QSBT	YGFE	b	r	1	650	1	6	0
1	05-Feb-2016	  31	Blue	m	0	1.7734	Y	G	TYSW	MGZD	rr	bb	2	650	1	6	0
1	05-Feb-2016	  32	Blue	a	0	1.0368	L	H	ALRW	VHPI	br	rb	2	2000	1	6	0
1	05-Feb-2016	   1	Red	k	0	1.1878	I	F	YTSI	KEDF	bbbr	rrrb	4	650	1	6	0
1	05-Feb-2016	   2	Red	y	0	1.3804	P	N	DPMT	YNEG	br	rb	2	650	1	6	0
1	05-Feb-2016	   3	Red	f	1	1.0966	F	X	FGER	XQCP	r	b	1	650	1	6	0
1	05-Feb-2016	   4	Red	q	0	0.4538	O	J	XOZD	QJKG	br	rb	2	2000	1	6	0
1	05-Feb-2016	   5	Red	g	1	1.1410	S	G	MLSW	TBGI	bbb	rrr	3	2000	1	6	0
1	05-Feb-2016	   6	Red	q	1	1.4165	Q	P	QRAC	PDLU	r	b	1	2000	1	6	0
1	05-Feb-2016	   7	Red	l	1	0.9149	N	L	GFNU	YKLH	rbb	brr	3	650	1	6	0
1	05-Feb-2016	   8	Red	k	0	1.3640	Z	W	IQJZ	SMKW	rbbr	brrb	4	2000	1	6	0
1	05-Feb-2016	   9	Red	j	1	0.9530	J	P	VTJR	KNPO	bbr	rrb	3	650	1	6	0
1	05-Feb-2016	  10	Red	c	1	1.1644	C	B	ICKU	OBQP	rr	bb	2	2000	1	6	0
1	05-Feb-2016	  11	Red	b	0	1.0348	R	V	NMBR	XQLV	brrb	rbbr	4	650	1	6	0
1	05-Feb-2016	  12	Red	i	1	0.7972	W	I	YRDW	OCSI	brbb	rbrr	4	650	1	6	0
1	05-Feb-2016	  13	Red	j	1	0.8693	J	I	STJH	NBIQ	rrr	bbb	3	650	1	6	0
1	05-Feb-2016	  14	Red	a	1	1.0215	A	H	ZNAF	XSHL	brr	rbb	3	2000	1	6	0
1	05-Feb-2016	  15	Red	c	1	1.2475	C	G	HVAC	OXSG	rrrr	bbbb	4	650	1	6	0
1	05-Feb-2016	  16	Red	h	0	2.2981	N	G	SQNR	MHGE	bbb	rrr	3	2000	1	6	0
1	05-Feb-2016	  17	Red	r	1	1.6932	R	H	RPUV	HXWQ	r	b	1	650	1	6	0
1	05-Feb-2016	  18	Red	f	0	1.3579	O	W	GOXH	FWUI	bb	rr	2	650	1	6	0
1	05-Feb-2016	  19	Red	k	0	1.0512	Y	X	TYSP	KXGD	bb	rr	2	2000	1	6	0
1	05-Feb-2016	  20	Red	n	1	1.1217	F	N	FBVU	NGMR	b	r	1	2000	1	6	0
1	05-Feb-2016	  21	Red	o	0	0.9697	L	C	BFAL	YHOC	bbbr	rrrb	4	2000	1	6	0
1	05-Feb-2016	  22	Red	z	0	1.9555	G	K	DGAW	ZKSY	rr	bb	2	650	1	6	0
1	05-Feb-2016	  23	Red	r	0	1.4039	Q	O	BQFY	ROXL	rb	br	2	650	1	6	0
1	05-Feb-2016	  24	Red	i	1	0.8700	I	H	BIGP	ZHOK	br	rb	2	2000	1	6	0
1	05-Feb-2016	  25	Red	w	1	0.8627	W	A	TCWR	YKAZ	rrr	bbb	3	2000	1	6	0
1	05-Feb-2016	  26	Red	y	1	0.9065	Y	C	YTOQ	CIUW	r	b	1	2000	1	6	0
1	05-Feb-2016	  27	Red	y	1	0.8854	F	Y	FIZM	YQGH	b	r	1	2000	1	6	0
1	05-Feb-2016	  28	Red	m	1	1.7134	Z	M	ZIPW	MGCJ	b	r	1	650	1	6	0
1	05-Feb-2016	  29	Red	d	0	0.7757	W	Y	KXQW	FHDY	rbbr	brrb	4	2000	1	6	0
1	05-Feb-2016	  30	Red	e	0	1.0885	J	G	CEJO	VAGK	rrb	bbr	3	650	1	6	0
1	05-Feb-2016	  31	Red	d	0	0.8182	Z	R	YJIZ	XSDR	rbbr	brrb	4	2000	1	6	0
1	05-Feb-2016	  32	Red	w	0	5.7845	F	E	FQTO	ESLI	r	b	1	650	1	6	0
1	05-Feb-2016	   1	Blue	l	0	1.6048	P	V	PFNL	VWYH	r	b	1	2000	1	6	0
1	05-Feb-2016	   2	Blue	c	1	1.0438	S	C	OFVS	EZKC	rrbr	bbrb	4	2000	1	6	0
1	05-Feb-2016	   3	Blue	s	1	1.7794	S	Z	SFMR	ZCQT	b	r	1	650	1	6	0
1	05-Feb-2016	   4	Blue	y	1	0.8990	Y	J	KDYI	RWJB	rrb	bbr	3	2000	1	6	0
1	05-Feb-2016	   5	Blue	s	0	1.0177	V	I	UCVN	SJIZ	rbr	brb	3	650	1	6	0
1	05-Feb-2016	   6	Blue	n	0	1.0404	Q	R	KQFZ	NRDP	rr	bb	2	650	1	6	0
1	05-Feb-2016	   7	Blue	o	0	1.2429	M	J	TOHM	PFQJ	bbrb	rrbr	4	650	1	6	0
1	05-Feb-2016	   8	Blue	s	1	0.7821	S	U	CHJS	NTZU	rbrb	brbr	4	2000	1	6	0
1	05-Feb-2016	   9	Blue	i	1	0.8346	Y	I	DVGY	KUWI	brbr	rbrb	4	650	1	6	0
1	05-Feb-2016	  10	Blue	i	1	1.4012	A	I	CANU	LIHT	br	rb	2	650	1	6	0
1	05-Feb-2016	  11	Blue	n	0	0.9555	E	I	NEZJ	QITF	bb	rr	2	2000	1	6	0
1	05-Feb-2016	  12	Blue	u	1	1.8295	A	U	AOBY	UKCD	r	b	1	650	1	6	0
1	05-Feb-2016	  13	Blue	d	0	1.6018	K	H	DKWL	SHRO	bb	rr	2	650	1	6	0
1	05-Feb-2016	  14	Blue	b	1	0.8945	B	U	SKBF	CZUP	rbb	brr	3	2000	1	6	0
1	05-Feb-2016	  15	Blue	d	1	0.8703	W	D	UEKW	MIVD	brbr	rbrb	4	650	1	6	0
1	05-Feb-2016	  16	Blue	u	1	1.0212	B	U	DFBA	HRUT	rrr	bbb	3	2000	1	6	0
1	05-Feb-2016	  17	Blue	f	0	2.7739	F	H	FGCK	HZDU	r	b	1	650	1	6	0
1	05-Feb-2016	  18	Blue	d	0	2.6151	G	D	GEQJ	DCXA	b	r	1	2000	1	6	0
1	05-Feb-2016	  19	Blue	o	0	2.1553	Z	D	FJOZ	GISD	rrbr	bbrb	4	2000	1	6	0
1	05-Feb-2016	  20	Blue	v	1	1.0119	V	B	VMJQ	BFTZ	b	r	1	2000	1	6	0
1	05-Feb-2016	  21	Blue	c	0	1.0055	E	P	TOEF	CXPG	rrr	bbb	3	650	1	6	0
1	05-Feb-2016	  22	Blue	y	1	0.9573	Y	I	NYJT	KIUC	rb	br	2	2000	1	6	0
1	05-Feb-2016	  23	Blue	u	1	1.1295	P	U	DPRS	CUXI	rr	bb	2	2000	1	6	0
1	05-Feb-2016	  24	Blue	z	1	1.0139	Z	G	ZMHY	GAES	b	r	1	2000	1	6	0
1	05-Feb-2016	  25	Blue	s	1	0.9100	U	S	AUTZ	PSEJ	rr	bb	2	2000	1	6	0
1	05-Feb-2016	  26	Blue	c	0	0.8984	L	W	CLRQ	JWKM	bb	rr	2	650	1	6	0
1	05-Feb-2016	  27	Blue	r	1	1.6359	R	K	RZHM	KBOV	b	r	1	650	1	6	0
1	05-Feb-2016	  28	Blue	i	1	0.8678	I	C	AJEI	MTDC	rrbb	bbrr	4	2000	1	6	0
1	05-Feb-2016	  29	Blue	c	1	0.9318	C	V	SGCD	QRVA	rrb	bbr	3	2000	1	6	0
1	05-Feb-2016	  30	Blue	e	1	1.2090	E	R	CXEJ	VWRD	bbb	rrr	3	650	1	6	0
1	05-Feb-2016	  31	Blue	f	1	0.8669	F	G	MOFA	ZUGJ	rrb	bbr	3	650	1	6	0
1	05-Feb-2016	  32	Blue	c	0	1.0756	B	F	PXIB	GSCF	rbrb	brbr	4	650	1	6	0
1	05-Feb-2016	   1	Red	x	1	0.9611	Z	X	nnnZ	nnnX	brrb	rbbr	4	650	1	6	1
1	05-Feb-2016	   2	Red	w	1	1.1628	W	M	W	M	r	b	1	650	1	6	1
1	05-Feb-2016	   3	Red	l	1	1.0238	Q	L	nnnQ	nnnL	rbbb	brrr	4	650	1	6	1
1	05-Feb-2016	   4	Red	w	1	0.9583	W	J	W	J	r	b	1	650	1	6	1
1	05-Feb-2016	   5	Red	j	1	0.7391	J	S	nnJ	nnS	rrr	bbb	3	2000	1	6	1
1	05-Feb-2016	   6	Red	d	1	0.8085	G	D	nnnG	nnnD	bbrb	rrbr	4	2000	1	6	1
1	05-Feb-2016	   7	Red	j	0	2.3924	W	E	nW	nE	br	rb	2	650	1	6	1
1	05-Feb-2016	   8	Red	x	1	0.9988	V	X	V	X	b	r	1	650	1	6	1
1	05-Feb-2016	   9	Red	e	1	0.9413	K	E	nnnK	nnnE	rbbb	brrr	4	2000	1	6	1
1	05-Feb-2016	  10	Red	h	1	0.9079	H	G	nnnH	nnnG	bbrr	rrbb	4	2000	1	6	1
1	05-Feb-2016	  11	Red	g	1	1.0241	G	W	nnG	nnW	bbr	rrb	3	650	1	6	1
1	05-Feb-2016	  12	Red	x	1	1.8906	Q	X	nQ	nX	rb	br	2	2000	1	6	1
1	05-Feb-2016	  13	Red	u	1	0.8580	R	U	nR	nU	bb	rr	2	650	1	6	1
1	05-Feb-2016	  14	Red	p	1	1.0357	C	P	nnC	nnP	rrb	bbr	3	2000	1	6	1
1	05-Feb-2016	  15	Red	l	1	1.1138	I	L	I	L	b	r	1	650	1	6	1
1	05-Feb-2016	  16	Red	w	1	1.0094	E	W	nnnE	nnnW	rrbb	bbrr	4	650	1	6	1
1	05-Feb-2016	  17	Red	r	1	1.1177	V	R	nnnV	nnnR	rbrb	brbr	4	2000	1	6	1
