SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	centerLetters	centerTargetLetter	
3	11-Mar-2016	   1	Red	j	0	0.9783	99	99	JYTH	GUKL	9999	9999	4	650	1	3	1	JYTH	H	
3	11-Mar-2016	   2	Red	u	1	0.8223	99	99	XEUN	YPHD	999	999	3	2000	1	3	1	XEUN	U	
3	11-Mar-2016	   3	Red	m	0	0.8538	99	99	MKFU	YAXB	99	99	2	650	1	3	1	MKFU	K	
3	11-Mar-2016	   4	Red	h	0	1.1672	99	99	HLMF	UGQC	9999	9999	4	650	1	3	1	HLMF	F	
3	11-Mar-2016	   5	Red	f	1	0.8336	99	99	FLEI	YNBS	9	9	1	650	1	3	1	FLEI	F	
3	11-Mar-2016	   6	Red	q	0	2.3855	99	99	QWCH	BPJO	999	999	3	650	1	3	1	QWCH	C	
3	11-Mar-2016	   7	Red	r	1	1.3755	99	99	XVPR	LDSB	9999	9999	4	2000	1	3	1	XVPR	R	
3	11-Mar-2016	   8	Red	q	0	1.1394	99	99	QEBN	JGSP	999	999	3	650	1	3	1	QEBN	B	
3	11-Mar-2016	   9	Red	e	1	1.0532	99	99	OCLE	DMXR	9999	9999	4	2000	1	3	1	OCLE	E	
3	11-Mar-2016	  10	Red	c	1	0.9633	99	99	CQYI	FBLX	9	9	1	2000	1	3	1	CQYI	C	
3	11-Mar-2016	  11	Red	f	0	0.8544	99	99	FJOP	KCUT	99	99	2	650	1	3	1	FJOP	J	
3	11-Mar-2016	  12	Red	v	1	0.9954	99	99	VWTX	RMCE	9	9	1	2000	1	3	1	VWTX	V	
3	11-Mar-2016	  13	Red	o	0	0.9871	99	99	PNXZ	IRGL	9	9	1	650	1	3	1	PNXZ	P	
3	11-Mar-2016	  14	Red	s	1	1.0281	99	99	ASFZ	WKVM	99	99	2	650	1	3	1	ASFZ	S	
3	11-Mar-2016	  15	Red	t	1	1.0284	99	99	TQHZ	XKLV	9	9	1	2000	1	3	1	TQHZ	T	
3	11-Mar-2016	  16	Red	g	0	0.8383	99	99	GJBP	DRXM	999	999	3	650	1	3	1	GJBP	B	
3	11-Mar-2016	  17	Red	e	1	1.1200	99	99	QZOE	MSYB	9999	9999	4	2000	1	3	1	QZOE	E	
3	11-Mar-2016	  18	Red	d	1	1.0208	99	99	DZXY	PJBQ	9	9	1	2000	1	3	1	DZXY	D	
3	11-Mar-2016	  19	Red	r	0	0.9597	99	99	CWDT	LMPR	999	999	3	2000	1	3	1	CWDT	D	
3	11-Mar-2016	  20	Red	o	1	0.9661	99	99	UYAO	DCFM	9999	9999	4	2000	1	3	1	UYAO	O	
3	11-Mar-2016	  21	Red	b	0	1.0810	99	99	BMWH	TQJL	99	99	2	650	1	3	1	BMWH	M	
3	11-Mar-2016	  22	Red	v	1	1.2950	99	99	TVGS	WDYP	99	99	2	2000	1	3	1	TVGS	V	
3	11-Mar-2016	  23	Red	q	1	1.4043	99	99	QBJV	WLIX	9	9	1	650	1	3	1	QBJV	Q	
3	11-Mar-2016	  24	Red	n	0	1.0175	99	99	NFAO	HWQB	999	999	3	650	1	3	1	NFAO	A	
3	11-Mar-2016	  25	Red	k	1	0.8909	99	99	GZKH	LISE	999	999	3	2000	1	3	1	GZKH	K	
3	11-Mar-2016	  26	Red	h	1	0.9785	99	99	NHXF	YRSJ	99	99	2	2000	1	3	1	NHXF	H	
3	11-Mar-2016	  27	Red	g	1	1.0764	99	99	MGFH	TIBA	99	99	2	2000	1	3	1	MGFH	G	
3	11-Mar-2016	  28	Red	h	0	1.8936	99	99	HGAQ	MIYX	9999	9999	4	650	1	3	1	HGAQ	Q	
3	11-Mar-2016	  29	Red	i	1	1.1303	99	99	PEIR	BAMD	999	999	3	2000	1	3	1	PEIR	I	
3	11-Mar-2016	  30	Red	i	1	1.4877	99	99	HIOV	GBNY	99	99	2	2000	1	3	1	HIOV	I	
3	11-Mar-2016	  31	Red	t	1	1.0705	99	99	TYKI	EPUM	9	9	1	650	1	3	1	TYKI	T	
3	11-Mar-2016	  32	Red	z	1	1.1511	99	99	BYMZ	NDPU	9999	9999	4	650	1	3	1	BYMZ	Z	
3	11-Mar-2016	   1	Blue	o	1	1.9093	99	99	OYID	BQHS	9	9	1	650	1	3	1	OYID	O	
3	11-Mar-2016	   2	Blue	m	0	0.8783	99	99	MRKL	YESU	99	99	2	650	1	3	1	MRKL	R	
3	11-Mar-2016	   3	Blue	b	1	0.8343	99	99	BGKX	ZEUC	9	9	1	650	1	3	1	BGKX	B	
3	11-Mar-2016	   4	Blue	k	1	0.8170	99	99	KMXW	DUHE	9	9	1	2000	1	3	1	KMXW	K	
3	11-Mar-2016	   5	Blue	c	1	1.0357	99	99	ZGKC	WTNB	9999	9999	4	2000	1	3	1	ZGKC	C	
3	11-Mar-2016	   6	Blue	k	0	3.2482	99	99	EYMX	ZFSK	9999	9999	4	2000	1	3	1	EYMX	X	
3	11-Mar-2016	   7	Blue	z	1	1.0204	99	99	WNZS	RGLU	999	999	3	2000	1	3	1	WNZS	Z	
3	11-Mar-2016	   8	Blue	y	1	1.6462	99	99	BYPD	FXCI	99	99	2	650	1	3	1	BYPD	Y	
3	11-Mar-2016	   9	Blue	u	1	0.8978	99	99	TUNX	AMFJ	99	99	2	2000	1	3	1	TUNX	U	
3	11-Mar-2016	  10	Blue	m	1	0.9496	99	99	TMWF	GSEZ	99	99	2	650	1	3	1	TMWF	M	
3	11-Mar-2016	  11	Blue	m	0	0.7148	99	99	MHPV	BWNS	999	999	3	650	1	3	1	MHPV	P	
3	11-Mar-2016	  12	Blue	x	1	0.9724	99	99	XFQL	EUKI	9	9	1	2000	1	3	1	XFQL	X	
3	11-Mar-2016	  13	Blue	q	0	0.8802	99	99	QFZY	NXBJ	999	999	3	650	1	3	1	QFZY	Z	
3	11-Mar-2016	  14	Blue	p	1	1.1481	99	99	PLSA	UHYK	9	9	1	650	1	3	1	PLSA	P	
3	11-Mar-2016	  15	Blue	t	1	0.8040	99	99	AGWT	ESML	9999	9999	4	2000	1	3	1	AGWT	T	
3	11-Mar-2016	  16	Blue	t	1	0.7653	99	99	WZTI	QHJE	999	999	3	2000	1	3	1	WZTI	T	
3	11-Mar-2016	  17	Blue	b	0	0.7870	99	99	LDYC	QSPO	9999	9999	4	2000	1	3	1	LDYC	C	
3	11-Mar-2016	  18	Blue	b	0	2.1662	99	99	BDUW	VHCQ	9999	9999	4	650	1	3	1	BDUW	W	
3	11-Mar-2016	  19	Blue	k	1	0.8010	99	99	QGKD	IJXP	999	999	3	2000	1	3	1	QGKD	K	
3	11-Mar-2016	  20	Blue	j	1	0.7459	99	99	JCXK	PAOI	9	9	1	2000	1	3	1	JCXK	J	
3	11-Mar-2016	  21	Blue	o	0	1.7157	99	99	IBNF	SOQY	99	99	2	650	1	3	1	IBNF	B	
3	11-Mar-2016	  22	Blue	j	1	0.8694	99	99	ZJEX	SDHO	99	99	2	2000	1	3	1	ZJEX	J	
3	11-Mar-2016	  23	Blue	e	1	1.4679	99	99	JEXV	GAYO	99	99	2	2000	1	3	1	JEXV	E	
3	11-Mar-2016	  24	Blue	r	1	0.9391	99	99	ROLB	PENI	9	9	1	2000	1	3	1	ROLB	R	
3	11-Mar-2016	  25	Blue	m	0	7.2399	99	99	MTPB	DFEL	999	999	3	650	1	3	1	MTPB	P	
3	11-Mar-2016	  26	Blue	e	0	2.0067	99	99	SMRK	FULE	999	999	3	650	1	3	1	SMRK	R	
3	11-Mar-2016	  27	Blue	u	0	1.4722	99	99	UEVF	YIDQ	9999	9999	4	650	1	3	1	UEVF	F	
3	11-Mar-2016	  28	Blue	e	0	1.2339	99	99	EJDB	RXFU	9999	9999	4	650	1	3	1	EJDB	B	
3	11-Mar-2016	  29	Blue	d	1	1.1578	99	99	HUDV	MBYN	999	999	3	2000	1	3	1	HUDV	D	
3	11-Mar-2016	  30	Blue	i	0	1.1074	99	99	IEQD	GBYW	9999	9999	4	650	1	3	1	IEQD	D	
3	11-Mar-2016	  31	Blue	f	0	1.5620	99	99	FCVX	IEKT	99	99	2	2000	1	3	1	FCVX	C	
3	11-Mar-2016	  32	Blue	w	1	1.5114	99	99	WJOR	PZGD	9	9	1	650	1	3	1	WJOR	W	
3	11-Mar-2016	   1	Red	w	1	0.9091	99	99	WJEA	DBSX	9	9	1	650	1	3	1	WJEA	W	
3	11-Mar-2016	   2	Red	s	0	1.4735	99	99	SIQN	OKXF	99	99	2	2000	1	3	1	SIQN	I	
3	11-Mar-2016	   3	Red	w	0	1.1888	99	99	WZBF	YONQ	9999	9999	4	650	1	3	1	WZBF	F	
3	11-Mar-2016	   4	Red	w	1	1.1112	99	99	EWTC	GNOD	99	99	2	650	1	3	1	EWTC	W	
3	11-Mar-2016	   5	Red	l	1	1.3056	99	99	EHXL	POBS	9999	9999	4	2000	1	3	1	EHXL	L	
3	11-Mar-2016	   6	Red	r	1	1.2354	99	99	ZNBR	WGEI	9999	9999	4	2000	1	3	1	ZNBR	R	
3	11-Mar-2016	   7	Red	m	1	1.2003	99	99	ZJMU	XHLE	999	999	3	2000	1	3	1	ZJMU	M	
3	11-Mar-2016	   8	Red	p	0	1.0355	99	99	PKJQ	WGET	9999	9999	4	650	1	3	1	PKJQ	Q	
3	11-Mar-2016	   9	Red	a	0	1.4055	99	99	YAXE	POWU	999	999	3	650	1	3	1	YAXE	X	
3	11-Mar-2016	  10	Red	x	0	1.4031	99	99	XLHV	ZWCE	9999	9999	4	650	1	3	1	XLHV	V	
3	11-Mar-2016	  11	Red	y	0	1.0687	99	99	YHMO	PEAC	99	99	2	650	1	3	1	YHMO	H	
3	11-Mar-2016	  12	Red	a	1	1.1562	99	99	ACJW	ZOMN	9	9	1	650	1	3	1	ACJW	A	
3	11-Mar-2016	  13	Red	x	0	1.0833	99	99	DXOP	JGSC	9999	9999	4	2000	1	3	1	DXOP	P	
3	11-Mar-2016	  14	Red	u	1	1.1241	99	99	BIUG	TLJW	999	999	3	2000	1	3	1	BIUG	U	
3	11-Mar-2016	  15	Red	o	1	1.3832	99	99	OHCB	ZFNS	9	9	1	650	1	3	1	OHCB	O	
3	11-Mar-2016	  16	Red	g	0	1.1167	99	99	GEKB	AOMN	999	999	3	650	1	3	1	GEKB	K	
3	11-Mar-2016	  17	Red	k	1	0.9530	99	99	KSRP	UQWJ	9	9	1	2000	1	3	1	KSRP	K	
3	11-Mar-2016	  18	Red	c	1	0.9871	99	99	CJLF	WYUI	9	9	1	2000	1	3	1	CJLF	C	
3	11-Mar-2016	  19	Red	y	1	1.1150	99	99	YZAK	NEOP	9	9	1	2000	1	3	1	YZAK	Y	
3	11-Mar-2016	  20	Red	f	0	1.2003	99	99	FZBP	LITK	99	99	2	650	1	3	1	FZBP	Z	
3	11-Mar-2016	  21	Red	a	1	0.9680	99	99	LFGA	XWHV	9999	9999	4	2000	1	3	1	LFGA	A	
3	11-Mar-2016	  22	Red	p	0	1.2348	99	99	JPVM	UXIW	999	999	3	650	1	3	1	JPVM	V	
3	11-Mar-2016	  23	Red	i	1	1.2676	99	99	IOJX	URNC	9	9	1	2000	1	3	1	IOJX	I	
3	11-Mar-2016	  24	Red	h	1	1.2272	99	99	PHVY	EBKA	99	99	2	2000	1	3	1	PHVY	H	
3	11-Mar-2016	  25	Red	e	1	1.1267	99	99	KGEC	FSZM	999	999	3	2000	1	3	1	KGEC	E	
3	11-Mar-2016	  26	Red	s	1	1.5941	99	99	SFYW	JELU	9	9	1	650	1	3	1	SFYW	S	
3	11-Mar-2016	  27	Red	z	0	1.1680	99	99	ZODG	TLHU	999	999	3	650	1	3	1	ZODG	D	
3	11-Mar-2016	  28	Red	r	0	1.0790	99	99	RKSG	LHEJ	9999	9999	4	650	1	3	1	RKSG	G	
3	11-Mar-2016	  29	Red	j	1	1.2158	99	99	WEJB	OXTY	999	999	3	2000	1	3	1	WEJB	J	
3	11-Mar-2016	  30	Red	g	1	1.2510	99	99	RGZF	ALCP	99	99	2	2000	1	3	1	RGZF	G	
3	11-Mar-2016	  31	Red	z	0	1.1464	99	99	ZWXF	UHEP	99	99	2	650	1	3	1	ZWXF	W	
3	11-Mar-2016	  32	Red	h	1	1.2319	99	99	ZHDG	WRON	99	99	2	2000	1	3	1	ZHDG	H	
3	11-Mar-2016	   1	Blue	p	0	0.8341	99	99	PMQF	NKRE	999	999	3	650	1	3	1	PMQF	Q	
3	11-Mar-2016	   2	Blue	b	0	1.0754	99	99	BJIH	LEAC	9999	9999	4	650	1	3	1	BJIH	H	
3	11-Mar-2016	   3	Blue	m	0	1.2065	99	99	ANMF	BVHD	9999	9999	4	2000	1	3	1	ANMF	F	
3	11-Mar-2016	   4	Blue	d	0	1.6180	99	99	DXKU	RVYO	999	999	3	650	1	3	1	DXKU	K	
3	11-Mar-2016	   5	Blue	m	0	2.1890	99	99	IDQY	MNPK	9	9	1	2000	1	3	1	IDQY	I	
3	11-Mar-2016	   6	Blue	v	0	1.7498	99	99	KRIQ	BSTF	999	999	3	650	1	3	1	KRIQ	I	
3	11-Mar-2016	   7	Blue	d	0	1.1765	99	99	DOLS	NCFI	999	999	3	2000	1	3	1	DOLS	L	
3	11-Mar-2016	   8	Blue	b	1	1.1404	99	99	ZBLU	NWET	99	99	2	2000	1	3	1	ZBLU	B	
3	11-Mar-2016	   9	Blue	b	1	1.0197	99	99	TYGB	AKZS	9999	9999	4	2000	1	3	1	TYGB	B	
3	11-Mar-2016	  10	Blue	g	1	1.0231	99	99	JMGB	WQDA	999	999	3	2000	1	3	1	JMGB	G	
3	11-Mar-2016	  11	Blue	s	0	1.2254	99	99	SQDG	VEMT	9999	9999	4	650	1	3	1	SQDG	G	
3	11-Mar-2016	  12	Blue	a	0	1.0282	99	99	AGJV	YKQT	9999	9999	4	650	1	3	1	AGJV	V	
3	11-Mar-2016	  13	Blue	y	0	1.0924	99	99	YLDK	ZOXB	99	99	2	650	1	3	1	YLDK	L	
3	11-Mar-2016	  14	Blue	y	0	1.3375	99	99	YTPJ	CNWM	99	99	2	650	1	3	1	YTPJ	T	
3	11-Mar-2016	  15	Blue	e	0	1.1035	99	99	EOKI	RLNG	99	99	2	650	1	3	1	EOKI	O	
