SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	centerLetters	centerTargetLetter	
17	05-May-2016	   1	Red	r	1	1.0782	99	99	RBLH	OWVD	9	9	1	650	1	2	1	RBLH	R	
17	05-May-2016	   2	Red	k	0	1.2147	99	99	FKAW	URXN	999	999	3	650	1	2	1	FKAW	A	
17	05-May-2016	   3	Red	h	1	1.7644	99	99	TIGH	WRSO	9999	9999	4	2000	1	2	1	TIGH	H	
17	05-May-2016	   4	Red	t	1	1.4087	99	99	TLQN	VHZC	9	9	1	650	1	2	1	TLQN	T	
17	05-May-2016	   5	Red	d	1	1.2607	99	99	CDGF	TZXS	99	99	2	650	1	2	1	CDGF	D	
17	05-May-2016	   6	Red	a	1	1.3153	99	99	AWXB	DMGE	9	9	1	650	1	2	1	AWXB	A	
17	05-May-2016	   7	Red	b	0	1.3221	99	99	VNKZ	GRLB	99	99	2	2000	1	2	1	VNKZ	N	
17	05-May-2016	   8	Red	a	1	1.6556	99	99	WAVY	XONU	99	99	2	650	1	2	1	WAVY	A	
17	05-May-2016	   9	Red	f	0	2.7873	99	99	MFVI	XSWQ	9999	9999	4	650	1	2	1	MFVI	I	
17	05-May-2016	  10	Red	e	1	1.2825	99	99	ZHRE	LQFN	9999	9999	4	2000	1	2	1	ZHRE	E	
17	05-May-2016	  11	Red	o	0	2.3867	99	99	WNQD	YORG	99	99	2	650	1	2	1	WNQD	N	
17	05-May-2016	  12	Red	y	0	2.7729	99	99	PXKT	FHJY	9999	9999	4	650	1	2	1	PXKT	T	
17	05-May-2016	  13	Red	b	0	3.7304	99	99	KGWV	SCDB	9999	9999	4	650	1	2	1	KGWV	V	
17	05-May-2016	  14	Red	z	0	1.4537	99	99	CZIU	TMBH	999	999	3	650	1	2	1	CZIU	I	
17	05-May-2016	  15	Red	a	1	1.6639	99	99	SVAX	ETMR	999	999	3	2000	1	2	1	SVAX	A	
17	05-May-2016	  16	Red	l	1	3.1386	99	99	LVHB	CTSE	9	9	1	2000	1	2	1	LVHB	L	
17	05-May-2016	  17	Red	z	1	3.5333	99	99	KQFZ	TPGN	9999	9999	4	2000	1	2	1	KQFZ	Z	
17	05-May-2016	  18	Red	y	1	1.7320	99	99	YWRJ	GMKB	9	9	1	2000	1	2	1	YWRJ	Y	
17	05-May-2016	  19	Red	k	1	1.2890	99	99	TXGK	YRJS	9999	9999	4	2000	1	2	1	TXGK	K	
17	05-May-2016	  20	Red	r	1	1.8052	99	99	RXQU	ZGNC	9	9	1	650	1	2	1	RXQU	R	
17	05-May-2016	  21	Red	p	0	3.4681	99	99	KOTN	VERB	99	99	2	2000	1	2	1	KOTN	O	
17	05-May-2016	  22	Red	c	0	1.7365	99	99	CIXP	NRBT	99	99	2	2000	1	2	1	CIXP	I	
17	05-May-2016	  23	Red	b	1	1.2333	99	99	JHBD	QENZ	999	999	3	2000	1	2	1	JHBD	B	
17	05-May-2016	  24	Red	o	1	1.6248	99	99	OXCQ	PYEB	9	9	1	2000	1	2	1	OXCQ	O	
17	05-May-2016	  25	Red	p	0	6.0475	99	99	AOUR	JNXD	999	999	3	2000	1	2	1	AOUR	U	
17	05-May-2016	  26	Red	w	0	2.1123	99	99	RVCK	WOMT	99	99	2	650	1	2	1	RVCK	V	
17	05-May-2016	  27	Red	b	0	1.2529	99	99	ABGF	EYDO	999	999	3	2000	1	2	1	ABGF	G	
