SubID	SessionDate	Trial	TargetColor	Response	Response1	Response2	Correct	Correct1	Correct2	RT	RT1	RT2	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	resp_all	centerLetters	centerTargetLetter	centerTargetLetter1	centerTargetLetter2	
2	19-May-2016	   1	Blue	NaN	g	.	99	1	99	99.0000	0.9229	99.0000	99	99	GQ	XC	9	9	1	650	1	2	1	1	GQ	G	G	Q	
2	19-May-2016	   2	Blue	NaN	h	.	99	1	99	99.0000	2.5418	99.0000	99	99	HE	LK	9	9	1	2000	1	2	1	1	HE	H	H	E	
2	19-May-2016	   3	Blue	NaN	m	u	99	1	0	99.0000	1.3132	1.6897	99	99	MV	XT	99	99	2	650	1	2	1	1	MV	V	M	V	
2	19-May-2016	   4	Blue	NaN	a	w	99	1	1	99.0000	0.4036	0.8347	99	99	AW	NT	99	99	2	650	1	2	1	1	AW	W	A	W	
2	19-May-2016	   5	Blue	NaN	s	s	99	0	1	99.0000	0.0024	4.1074	99	99	JS	WK	99	99	2	2000	1	2	1	1	JS	S	J	S	
2	19-May-2016	   6	Blue	NaN	s	.	99	1	99	99.0000	0.9296	99.0000	99	99	SU	FK	9	9	1	2000	1	2	1	1	SU	S	S	U	
2	19-May-2016	   7	Blue	NaN	a	.	99	1	99	99.0000	0.8200	99.0000	99	99	AW	OH	9	9	1	1050	1	2	1	1	AW	A	A	W	
2	19-May-2016	   8	Blue	NaN	r	.	99	1	99	99.0000	0.5079	99.0000	99	99	RA	GY	9	9	1	650	1	2	1	1	RA	R	R	A	
2	19-May-2016	   9	Blue	NaN	g	.	99	1	99	99.0000	0.7010	99.0000	99	99	GM	OT	9	9	1	850	1	2	1	1	GM	G	G	M	
2	19-May-2016	  10	Blue	NaN	f	.	99	1	99	99.0000	0.6635	99.0000	99	99	FY	LR	9	9	1	850	1	2	1	1	FY	F	F	Y	
2	19-May-2016	  11	Blue	NaN	r	.	99	1	99	99.0000	0.8041	99.0000	99	99	RO	JH	9	9	1	650	1	2	1	1	RO	R	R	O	
2	19-May-2016	  12	Blue	NaN	j	j	99	1	0	99.0000	1.4077	1.4101	99	99	JG	IS	99	99	2	1050	1	2	1	1	JG	G	J	G	
