SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	centralized	centerLetters	centerTargetLetter	
1	11-Mar-2016	   1	Red	w	0	1.9761	99	99	MQEI	SWLZ	9	9	1	2000	1	4	1	MQEI	M	
1	11-Mar-2016	   2	Red	u	1	1.5230	99	99	XIMU	TCJL	9999	9999	4	2000	1	4	1	XIMU	U	
1	11-Mar-2016	   3	Red	o	0	1.4586	99	99	OFMW	LYXH	99	99	2	650	1	4	1	OFMW	F	
1	11-Mar-2016	   4	Red	e	1	1.5237	99	99	IGEL	AXUB	999	999	3	650	1	4	1	IGEL	E	
1	11-Mar-2016	   5	Red	t	0	1.0911	99	99	TXKN	SZBP	99	99	2	650	1	4	1	TXKN	X	
1	11-Mar-2016	   6	Red	g	1	1.6792	99	99	GHCR	TMLQ	9	9	1	650	1	4	1	GHCR	G	
1	11-Mar-2016	   7	Red	w	1	1.5883	99	99	ABEW	CNDX	9999	9999	4	2000	1	4	1	ABEW	W	
1	11-Mar-2016	   8	Red	l	1	1.6656	99	99	YLKS	JNTC	99	99	2	2000	1	4	1	YLKS	L	
1	11-Mar-2016	   9	Red	p	0	1.1825	99	99	PIMT	LRAG	999	999	3	650	1	4	1	PIMT	M	
1	11-Mar-2016	  10	Red	h	1	1.3194	99	99	HSKF	ACTZ	9	9	1	2000	1	4	1	HSKF	H	
1	11-Mar-2016	  11	Red	g	0	1.4873	99	99	GOEK	LUAX	9999	9999	4	650	1	4	1	GOEK	K	
1	11-Mar-2016	  12	Red	b	1	2.1897	99	99	BZAG	NOJQ	9	9	1	650	1	4	1	BZAG	B	
1	11-Mar-2016	  13	Red	j	1	1.3575	99	99	JHAL	GIPF	9	9	1	2000	1	4	1	JHAL	J	
1	11-Mar-2016	  14	Red	e	0	1.3158	99	99	EILZ	RFWQ	9999	9999	4	650	1	4	1	EILZ	Z	
1	11-Mar-2016	  15	Red	p	0	4.6054	99	99	PXDJ	KCNY	9999	9999	4	2000	1	4	1	PXDJ	J	
1	11-Mar-2016	  16	Red	n	0	1.4247	99	99	NLWU	VYRC	99	99	2	650	1	4	1	NLWU	L	
1	11-Mar-2016	  17	Red	i	1	1.1738	99	99	GUIC	THWF	999	999	3	2000	1	4	1	GUIC	I	
1	11-Mar-2016	  18	Red	u	0	1.3294	99	99	UZGY	LHTF	99	99	2	650	1	4	1	UZGY	Z	
1	11-Mar-2016	  19	Red	o	0	2.0554	99	99	QEJW	ORNU	99	99	2	2000	1	4	1	QEJW	E	
